iso3c,year,e_gdppc
AFG,2020,NA
AFG,2021,NA
ARG,1980,8.81
ARG,1981,8.558
ARG,1982,8.428
ARG,1983,8.541
ARG,1984,8.601
ARG,1985,8.426
ARG,1986,8.671
ARG,1987,8.791
ARG,1988,8.746
ARG,1989,8.53
ARG,1990,8.813
ARG,1991,9.55
ARG,1992,10.449
ARG,1993,11.285
ARG,1994,11.929
ARG,1995,12.278
ARG,1996,13.033
ARG,1997,13.62
ARG,1998,13.767
ARG,1999,13.349
ARG,2000,12.961
ARG,2001,12.246
ARG,2002,11.53
ARG,2003,11.815
ARG,2004,12.575
ARG,2005,13.433
ARG,2006,14.341
ARG,2007,15.322
ARG,2008,15.868
ARG,2009,15.705
ARG,2010,16.536
ARG,2011,17.253
ARG,2012,17.373
ARG,2013,17.406
ARG,2014,17.178
ARG,2015,17.254
ARG,2016,17.028
ARG,2017,17.195
ARG,2018,16.909
ARG,2019,16.528
ARG,2020,NA
ARG,2021,NA
ETH,1980,0.824
ETH,1981,0.838
ETH,1982,0.843
ETH,1983,0.858
ETH,1984,0.846
